EventID,Row,Owner,Stage,Location,From,To,Weather,Title,Speaker,Text,Reply,Affinity,Reward
event_milky_affection,Event,char_milky,Affection,loc_cafe_counter,8,12,Any,창가의 당신 자리,,,,,food_warm_milk:2
event_milky_affection,Line,,,,,,,,npc,"이 창가 자리, 오늘부터 당신 자리예요.",,,
event_milky_affection,Line,,,,,,,,npc,아침마다 따뜻한 우유를 올려 둘게요. 식기 전에 와야 해요~,,,
event_milky_affection,Choice,,,,,,,,,매일 올게.,약속했어요~ 안 오면 우유가 슬퍼할 거예요.,10,
event_milky_affection,Choice,,,,,,,,,우유보다 네가 보고 싶어서 올게.,"어, 어머… 오늘은 우유를 조금 더 데워야겠네요…",8,
event_milky_affection,After,,,,,,,,npc,오늘 몫이에요. 따뜻할 때 마셔요~,,,
event_dravia_curious,Event,char_dravia,Curious,loc_smithy_anvil,9,13,Any,모루 앞에서,,,,,
event_dravia_curious,Line,,,,,,,,npc,불 앞에 서 봐. 도망가지 않는다면.,,,
event_dravia_curious,Line,,,,,,,,npc,"…버티는군. 대장간 열기에 버티는 놈은 드물어.",,,
event_dravia_curious,Choice,,,,,,,,,쇠 두드리는 거 배우고 싶어.,"흥. 망치는 무거워. 그래도 하겠다면 가르쳐 주지.",5,
event_dravia_curious,Choice,,,,,,,,,더워서 죽겠어.,그럼 나가. 불은 약한 놈을 기다려 주지 않아.,1,
event_dravia_curious,After,,,,,,,,npc,다음에 오면 망치 쥐는 법부터 알려 주지.,,,
event_dravia_trust,Event,char_dravia,Trust,loc_cafe,13,14,Any,매운 점심,,,,,
event_dravia_trust,Line,,,,,,,,npc,"…내 불은 한번 고향을 태웠다.",,,
event_dravia_trust,Line,,,,,,,,npc,"그래서 매일 두드려. 이번엔 만드는 데 쓰려고.",,,
event_dravia_trust,Choice,,,,,,,,,네 불은 이제 사람을 지켜.,"…그런 말은 처음 듣는군. 나쁘지 않아.",8,
event_dravia_trust,Choice,,,,,,,,,불 조심해야겠네.,"알고 있어. 누구보다 잘.",-2,
event_dravia_trust,After,,,,,,,,npc,"이 얘기, 떠벌리지 마라.",,,
event_dravia_affection,Event,char_dravia,Affection,loc_village_square,18,21,Any,별 아래의 약속,,,,,item_iron_ore:5
event_dravia_affection,Line,,,,,,,,npc,저녁 공기는 차갑군. 너 옆은 그렇지도 않지만.,,,
event_dravia_affection,Line,,,,,,,,npc,네 도구가 부러지면 언제든 가져와. 평생 고쳐 주지.,,,
event_dravia_affection,Choice,,,,,,,,,"평생이라니, 약속이야.",드래곤은 약속을 어기지 않아. 기억해.,10,
event_dravia_affection,Choice,,,,,,,,,도구보다 너를 보러 올게.,"…말은 잘하는군. 얼굴이 뜨거운 건 화로 때문이다.",8,
event_dravia_affection,After,,,,,,,,npc,이건 좋은 광석이다. 네가 쓸 도구에 넣어.,,,
event_lichel_curious,Event,char_lichel,Curious,loc_market_stall,6,20,Any,떠돌이의 장부,,,,,
event_lichel_curious,Line,,,,,,,,npc,"흥, 뭘 봐? 이건 내 장부야. 손님들 취향이 다 적혀 있지.",,,
event_lichel_curious,Line,,,,,,,,npc,"너는… ""싼 거 좋아함""이라고 적어 뒀어.",,,
event_lichel_curious,Choice,,,,,,,,,좋은 물건을 좋아한다고 고쳐 줘.,"흥, 그럼 좋은 물건 사 가는 거 보여 줘.",5,
event_lichel_curious,Choice,,,,,,,,,맞는 말이네.,"뭐야, 인정하는 거야? …그런 솔직함은 좀 좋네.",3,
event_lichel_curious,After,,,,,,,,npc,단골 손님은 장부 맨 앞에 적는 거야. 기억해 둬.,,,
event_lichel_trust,Event,char_lichel,Trust,loc_village_square,20,22,Any,밤의 소문,,,,,
event_lichel_trust,Line,,,,,,,,npc,옛날엔 먹을 걸 훔치다가 마을에서 쫓겨났어.,,,
event_lichel_trust,Line,,,,,,,,npc,지금은 파는 쪽이 됐네. 웃기지?,,,
event_lichel_trust,Choice,,,,,,,,,전혀 안 웃겨. 대단해.,"…흥. 그런 말 들으려고 한 얘기 아니야. 그래도… 고마워.",8,
event_lichel_trust,Choice,,,,,,,,,조금 웃기긴 하네.,그치? 나도 가끔 웃겨.,1,
event_lichel_trust,After,,,,,,,,npc,이 얘기 다른 데 가서 하면 가격 올린다?,,,
event_lichel_affection,Event,char_lichel,Affection,loc_market_stall,6,20,Bad,비 오는 날의 가판대,,,,,equipment_cloth_cap:1
event_lichel_affection,Line,,,,,,,,npc,"비 오는 날엔 손님이 없어. …너 빼고.",,,
event_lichel_affection,Line,,,,,,,,npc,"계속 떠돌아다닐 생각이었는데, 여기 좀 더 있어 볼까 싶어.",,,
event_lichel_affection,Choice,,,,,,,,,계속 있어 줘.,"흥, 네가 그렇게까지 부탁하면… 있어 줄게.",10,
event_lichel_affection,Choice,,,,,,,,,네 마음대로 해.,"…그래. 내 마음대로 할 거야.",2,
event_lichel_affection,After,,,,,,,,npc,"이거, 비 맞지 말라고 주는 거야. 착각하지 마.",,,
