CharacterID,Preference,Target,Note
char_censia,Loved,item_animal_feed,곡물
char_censia,Liked,food_apple,
char_censia,Liked,food_potato,
char_censia,Disliked,resource_stone,
char_ravenna,Loved,item_herbal_tea,차
char_ravenna,Liked,tag:weapon,검 손질 도구 대신
char_ravenna,Disliked,resource_worm_bait,
char_akane,Loved,food_pumpkin_soup,따뜻한 음식
char_akane,Liked,tag:dish,
char_akane,Disliked,food_winter_radish,차가운 음식
char_akane,Disliked,drink_water_bottle,차가운 음식
char_pipi,Loved,tag:metal_tool,공구
char_pipi,Liked,item_iron_ore,
char_pipi,Liked,resource_stone,폐품
char_pipi,Liked,item_wood,
char_pipi,Disliked,resource_worm_bait,
char_safira,Loved,item_wild_mushroom,
char_safira,Liked,tag:herb,약초
char_safira,Hated,drink_water_bottle,물
char_lumina,Loved,food_strawberry,꽃 대신
char_lumina,Liked,tag:seed,
char_lumina,Liked,food_berry,
char_lumina,Disliked,item_wood,연기
char_neri,Loved,resource_worm_bait,벌레 요리
char_neri,Liked,drink_water_bottle,
char_neri,Liked,resource_fish_smelt,
char_neri,Disliked,item_plant_fiber,건조함
char_neri,Hated,resource_fish_catfish,큰 포식자
char_sharia,Loved,resource_fish_catfish,생선
char_sharia,Loved,resource_fish_golden_carp,
char_sharia,Liked,tag:fish,생선
char_sharia,Disliked,food_berry,
char_aliune,Loved,tag:seed,씨앗
char_aliune,Liked,drink_water_bottle,깨끗한 물
char_aliune,Disliked,item_wood,불
char_aliune,Hated,tool_hoe,제초
char_octavia,Loved,resource_fish_trout,
char_octavia,Liked,tag:fish,
char_octavia,Disliked,item_plant_fiber,촉수 구속
char_bellamorta,Liked,item_herbal_tea,향기로운 차
char_bellamorta,Liked,tag:ore,보석 대신 광석
char_bellamorta,Liked,item_wild_mushroom,연금 재료
char_arachne,Liked,tag:cloth,천
char_arachne,Disliked,item_wood,불을 부르는 장작
char_milu,Liked,food_strawberry,달콤한 열매
char_milu,Liked,drink_milk,말랑한 음료
char_kasumi,Liked,food_strawberry,붉은 것
char_kasumi,Liked,item_herbal_tea,향초 대신 차
char_kasumi,Disliked,item_iron_ore,쇠붙이
char_seira,Liked,food_mushroom_skewer,버섯 요리
char_seira,Liked,item_herbal_tea,희귀 약초 차
char_pipi,Liked,tag:gear,장비 부품
char_pipi,Liked,tag:ore,광석
char_safira,Liked,item_herbal_tea,약초 차
char_safira,Liked,medicine_bandage,약
char_serena,Liked,medicine_bandage,낡은 책 수선
char_liriel,Liked,food_apple,
char_chesca,Liked,item_scrap_parts,반짝이는 부품
char_marielle,Liked,resource_fish_crucian,
char_lumina,Liked,item_spider_silk,고치 보수
char_neri,Liked,food_sweet_jelly,촉촉함
char_aliune,Liked,item_herbal_tea,약초
char_lichel,Loved,tag:gem,보석
char_pipi,Loved,tag:treasure,귀금속
char_chesca,Loved,tag:gem,보석
char_dravia,Loved,tag:treasure,귀금속
char_bellamorta,Liked,tag:gem,보석
char_seira,Liked,tag:gem,보석
char_arachne,Liked,tag:gem,보석
char_serena,Liked,tag:gem,보석
char_milu,Liked,tag:gem,보석
char_lilica,Liked,tag:treasure,귀금속
char_ravenna,Liked,tag:treasure,귀금속
char_ragh,Loved,tag:hunt,사냥 자랑거리
char_harka,Liked,tag:hunt,사냥 자랑거리
char_dravia,Liked,tag:fur,가죽 손잡이
char_lunette,Liked,resource_stinger,약 재료
char_beatrice,Loved,tag:insect,곤충
char_arachne,Liked,tag:insect,곤충
char_safira,Liked,resource_scale,같은 사막 살이
char_noctia,Loved,resource_firefly,밤의 불빛
char_seira,Liked,tag:fur,따뜻한 털
char_mireille,Liked,tag:fur,따뜻한 털
char_erina,Liked,tag:insect,숲의 친구
char_erina,Loved,tag:forage,숲에서 난 것
char_lunette,Loved,resource_herb_leaf,약 재료
char_beatrice,Loved,resource_wild_flower,꽃
char_lanhua,Loved,resource_wild_flower,꽃
char_akane,Liked,tag:forage,제철 음식
char_octavia,Liked,tag:forage,제철 재료
char_noctia,Liked,resource_ice_flower,겨울 꽃
char_seira,Liked,food_roast_chestnut,따뜻한 군밤
