PairID,CharacterA,CharacterB,Relation,Row,Speaker,Text
pair_liriel_lumina,,,,Banter2,B,"…리리엘, 날개에 꽃가루가 묻었어요."
pair_liriel_lumina,,,,Banter2,A,헉! 또 꽃에 부딪혔나 봐! 털어 줘!
pair_liriel_lumina,,,,Banter2,B,"…후후, 가만히 있어요."
pair_liriel_lumina,,,,Mention,A,루미나는 조용하지만 꽃은 누구보다 잘 알아! 내 친구야!
pair_liriel_lumina,,,,Mention,B,…리리엘은 숲의 햇살 같아요. 조금 시끄러운 햇살.
pair_beatrice_lumina,char_beatrice,char_lumina,Rival,Pair,,
pair_beatrice_lumina,,,,Banter1,A,"정찰 보고. 이 꽃밭, 오늘은 제 벌들 차례예요."
pair_beatrice_lumina,,,,Banter1,B,…나비도 꽃이 필요해요. 반씩 나눠요.
pair_beatrice_lumina,,,,Banter1,A,"…합의 완료. 동쪽은 벌, 서쪽은 나비."
pair_beatrice_lumina,,,,Banter2,B,"…베아트리체, 벌들이 제 날개 근처를 맴돌아요."
pair_beatrice_lumina,,,,Banter2,A,해치지 않아요. 당신 날개가 꽃처럼 보여서 그래요.
pair_beatrice_lumina,,,,Banter2,B,…그건 칭찬으로 받을게요.
pair_beatrice_lumina,,,,Mention,A,루미나와는 꽃밭을 나눠 써요. 합의가 잘 되는 상대예요.
pair_beatrice_lumina,,,,Mention,B,…베아트리체는 엄격하지만 공평해요. 꽃밭을 반씩 나눠 줬어요.
pair_mio_neri,char_mio,char_neri,Friend,Pair,,
pair_mio_neri,,,,Banter1,B,미오! 오늘 연못에 물고기 많아! 개굴!
pair_mio_neri,,,,Banter1,A,진짜냥? 그럼 오늘 낚시는 대박이다냥.
pair_mio_neri,,,,Banter1,B,대신 나 잡으면 안 돼!
pair_mio_neri,,,,Banter2,A,"네리, 내일 비 오냥? 낚시하기 좋다냥."
pair_mio_neri,,,,Banter2,B,개굴! 오후에 조금! 우비 챙겨!
pair_mio_neri,,,,Banter2,A,고맙다냥. 생선 하나 나눠 주겠다냥.
pair_mio_neri,,,,Mention,A,네리 예보 보고 낚시 가면 틀림없다냥. 가끔 틀리지만냥.
pair_mio_neri,,,,Mention,B,"미오는 날 물고기로 안 봐! 좋은 친구야! …아마도, 개굴."
pair_eiri_lanhua,char_eiri,char_lanhua,Friend,Pair,,
pair_eiri_lanhua,,,,Banter1,A,란후아~ 수업 끝나면 노래 한 곡 들을래?
pair_eiri_lanhua,,,,Banter1,B,좋다. 호흡 수련에 노래도 도움이 되지.
pair_eiri_lanhua,,,,Banter1,A,"후훗, 그럼 숨 길게 쉬는 노래로!"
pair_eiri_lanhua,,,,Banter2,B,"에이리, 아이들이 네 노래를 따라 부르더군."
pair_eiri_lanhua,,,,Banter2,A,진짜? 수련하면서?
pair_eiri_lanhua,,,,Banter2,B,그래. 박자가 맞아서 동작이 좋아졌다.
pair_eiri_lanhua,,,,Mention,A,란후아는 무서워 보이지만 노래를 좋아해~ 비밀이야!
pair_eiri_lanhua,,,,Mention,B,에이리의 노래는… 수련에 방해가 안 되는 유일한 소리다.
pair_lilica_ravenna,char_lilica,char_ravenna,Friend,Pair,,
pair_lilica_ravenna,,,,Banter1,A,레이븐나! 오늘 밤도 순찰이야? 이 릴리카 님이 동행해 주지!
pair_lilica_ravenna,,,,Banter1,B,"영광입니다, 아가씨. 다만 늦게까지는 안 됩니다."
pair_lilica_ravenna,,,,Banter1,A,흥! 나 어린애 아니거든! …몇백 살이야!
pair_lilica_ravenna,,,,Banter2,B,"아가씨, 달이 밝습니다. 양산은 필요 없겠군요."
pair_lilica_ravenna,,,,Banter2,A,"후훗, 달빛은 괜찮아. 너도 머리 조심해, 떨어뜨리지 말고!"
pair_lilica_ravenna,,,,Banter2,B,…그건 농담으로 받겠습니다.
pair_lilica_ravenna,,,,Mention,A,"레이븐나는 밤에도 날 무서워하지 않아. 기사라서 그런가? 흥, 좋아."
pair_lilica_ravenna,,,,Mention,B,릴리카 아가씨는 외로움을 감추는 분입니다. 밤 순찰 때 말동무가 되어 드리지요.
pair_bellamorta_noctia,char_bellamorta,char_noctia,Rival,Pair,,
pair_bellamorta_noctia,,,,Banter1,A,"어머, 까마귀 마녀님. 오늘도 불길한 예언인가요?"
pair_bellamorta_noctia,,,,Banter1,B,당신의 물약만큼 불길하진 않아요.
pair_bellamorta_noctia,,,,Banter1,A,"후후, 칭찬으로 들을게요."
pair_bellamorta_noctia,,,,Banter2,B,"벨라모르타, 그 금서… 나도 읽어도 될까요?"
pair_bellamorta_noctia,,,,Banter2,A,대가는 까마귀 깃털 세 개예요.
pair_bellamorta_noctia,,,,Banter2,B,…흥정은 여전하군요.
pair_bellamorta_noctia,,,,Mention,A,숲의 마녀요? 흥미로운 분이죠. 경쟁 상대로는 나쁘지 않아요.
pair_bellamorta_noctia,,,,Mention,B,벨라모르타의 물약은… 인정해요. 말투는 빼고요.
